Iteration,REINFORCE_reward,OLD_REINFORCE_reward
0,0.08,0.000666667
1,0.221,-0.000333333
2,0.362,0.018
3,0.830333333,0.049666667
4,1.148,-0.015
5,1.406666667,0.001
6,1.491666667,0.039333333
7,1.471,0.039333333
8,1.530333333,0.021
9,1.652666667,0.084
10,1.74,0.041333333
11,1.806,0.079333333
12,1.850333333,0.046666667
13,1.885,0.082
14,1.845666667,0.106
15,1.834333333,0.098333333
16,1.847333333,0.115
17,1.878666667,0.029666667
18,1.867,0.039333333
19,1.898333333,0.095
20,1.885333333,0.059666667
21,1.887333333,0.151666667
22,1.853333333,0.107333333
23,1.867,0.116333333
24,1.881333333,0.088
25,1.887,0.084666667
26,1.861,0.136
27,1.869,0.124
28,1.860666667,0.161333333
29,1.873666667,0.160666667
30,1.876333333,0.154333333
31,1.829333333,0.216666667
32,1.779,0.201333333
33,1.815333333,0.234
34,1.844,0.221333333
35,1.873333333,0.211666667
36,1.877666667,0.206
37,1.881666667,0.249666667
38,1.854666667,0.206666667
39,1.875,0.232
40,1.871,0.273666667
41,1.888,0.225
42,1.876666667,0.261666667
43,1.814666667,0.259666667
44,1.788333333,0.235666667
45,1.899666667,0.282333333
46,1.855,0.262333333
47,1.868,0.325333333
48,1.881666667,0.318666667
49,1.836333333,0.329333333
50,1.897333333,0.343666667
51,1.877,0.324333333
52,1.886,0.356
53,1.916666667,0.353
54,1.893,0.363666667
55,1.849333333,0.400333333
56,1.879333333,0.373
57,1.881666667,0.421333333
58,1.881666667,0.379333333
59,1.895,0.390333333
60,1.913333333,0.437666667
61,1.92,0.484666667
62,1.901666667,0.399
63,1.903333333,0.493
64,1.868333333,0.457
65,1.901666667,0.473666667
66,1.871666667,0.467333333
67,1.908333333,0.479666667
68,1.926333333,0.534333333
69,1.886666667,0.537333333
70,1.88,0.572666667
71,1.893333333,0.605
72,1.893333333,0.488
73,1.898333333,0.570333333
74,1.893333333,0.642666667
75,1.908333333,0.603333333
76,1.92,0.581666667
77,1.916666667,0.591
78,1.869666667,0.639333333
79,1.92,0.663666667
80,1.888333333,0.696
81,1.93,0.713666667
82,1.896666667,0.727
83,1.925,0.67
84,1.893333333,0.706
85,1.915,0.741666667
86,1.908333333,0.810666667
87,1.924666667,0.805666667
88,1.876333333,0.775333333
89,1.92,0.774666667
90,1.888333333,0.825666667
91,1.854666667,0.834666667
92,1.906666667,0.811
93,1.903333333,0.811666667
94,1.931666667,0.877333333
95,1.901666667,0.890333333
96,1.915,0.915666667
97,1.903333333,0.911333333
98,1.876333333,0.947333333
99,1.901666667,0.981333333
100,1.881,0.994666667
101,1.918333333,1.016666667
102,1.916666667,0.949333333
103,1.906333333,1.076333333
104,1.906666667,1.01
105,1.913333333,1.078
106,1.918,1.095
107,1.89,1.066333333
108,1.89,1.098333333
109,1.876666667,1.098
110,1.935,1.196
111,1.906666667,1.089
112,1.891,1.135
113,1.901666667,1.150666667
114,1.891333333,1.234666667
115,1.925,1.234
116,1.908333333,1.187333333
117,1.896333333,1.247666667
118,1.91,1.180666667
119,1.901333333,1.284333333
120,1.903333333,1.296
121,1.891666667,1.240333333
122,1.89,1.301
123,1.883333333,1.276666667
124,1.93,1.333
125,1.931666667,1.304333333
126,1.888333333,1.35
127,1.893,1.287333333
128,1.91,1.296333333
129,1.895,1.409
130,1.916666667,1.346
131,1.923,1.390333333
132,1.926666667,1.317
133,1.903333333,1.418
134,1.884666667,1.458
135,1.924666667,1.387
136,1.916666667,1.382666667
137,1.935,1.423666667
138,1.93,1.396666667
139,1.893,1.425333333
140,1.911666667,1.447666667
141,1.885,1.434666667
142,1.906666667,1.505
143,1.871333333,1.536
144,1.878333333,1.439666667
145,1.908333333,1.523333333
146,1.915,1.492666667
147,1.908333333,1.468666667
148,1.906666667,1.498333333
149,1.906666667,1.509666667
150,1.891333333,1.454
151,1.881666667,1.514333333
152,1.906666667,1.548333333
